trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
339,False,"{'a': 0.1, 'e': 0.09608808078409317}",25,18,-7.842043517405786,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
340,False,"{'a': 0.1, 'e': 0.09542640088276194}",20,3,7.213128341598358,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
341,False,"{'a': 0.1, 'e': 0.0947692774288928}",25,20,8.670578102706898,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.1, 'e': 0.0941166790459645}",25,9,26.489008255466253,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.1, 'e': 0.09346857457352023}",25,2,-2.157672996042502,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
344,False,"{'a': 0.1, 'e': 0.09282493306567968}",25,14,23.702497584598657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.1, 'e': 0.09218572378966149}",20,8,12.556818011734771,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.1, 'e': 0.09155091622431578}",30,5,39.22142700989403,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.1, 'e': 0.09092048005866685}",20,0,25.959942236998494,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
348,False,"{'a': 0.1, 'e': 0.0902943851904658}",35,25,18.695239770317155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.1, 'e': 0.08967260172475335}",25,20,10.674651188764495,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.1, 'e': 0.0890550999724322}",25,19,13.030175137999374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.1, 'e': 0.0884418504488497}",35,9,48.11896888775997,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.1, 'e': 0.0878328238723897}",20,6,2.651784870283599,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
353,False,"{'a': 0.1, 'e': 0.08722799116307466}",25,7,9.247526920589115,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
354,False,"{'a': 0.1, 'e': 0.08662732344117695}",25,11,31.00567309646673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.1, 'e': 0.08603079202583998}",30,15,3.889404885490495,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
356,False,"{'a': 0.1, 'e': 0.08543836843370878}",25,10,24.149419755578172,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.1, 'e': 0.08485002437756986}",20,8,4.944859828764431,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
358,False,"{'a': 0.1, 'e': 0.0842657317650006}",30,18,-20.055837633821692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
359,False,"{'a': 0.1, 'e': 0.08368546269702791}",20,4,26.93371373240364,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.1, 'e': 0.08310918946679606}",20,16,7.025295154159402,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.1, 'e': 0.08253688455824375}",30,17,25.761146385972413,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.1, 'e': 0.08196852064479021}",25,13,16.62440496367331,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.1, 'e': 0.08140407058803051}",20,15,-4.169823600420662,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
364,False,"{'a': 0.1, 'e': 0.08084350743643964}",30,7,24.321790185393777,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
365,False,"{'a': 0.1, 'e': 0.08028680442408566}",25,14,19.623940946227574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.1, 'e': 0.07973393496935174}",20,15,7.688375844828581,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.1, 'e': 0.07918487267366683}",20,5,21.986650803420215,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.1, 'e': 0.0786395913202452}",20,0,-16.60790007442762,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
369,False,"{'a': 0.1, 'e': 0.07809806487283463}",25,14,24.86356770755823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.1, 'e': 0.07756026747447332}",30,16,21.60274846979843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.1, 'e': 0.0770261734462551}",25,10,12.121502898750972,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.1, 'e': 0.07649575728610344}",20,12,3.7907045961224046,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
373,False,"{'a': 0.1, 'e': 0.07596899366755372}",25,7,24.36406765863405,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.1, 'e': 0.07544585743854391}",20,2,27.587312838886955,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.1, 'e': 0.07492632362021366}",20,15,10.876648195035564,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.1, 'e': 0.07441036740571154}",25,11,22.52109477940247,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.1, 'e': 0.07389796415901058}",25,12,15.858452080242357,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
378,False,"{'a': 0.1, 'e': 0.073389089413732}",30,18,23.996348858023225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.1, 'e': 0.07288371887197688}",20,0,-21.4738389933488,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
380,False,"{'a': 0.1, 'e': 0.07238182840316602}",25,14,18.35138250208657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.1, 'e': 0.07188339404288778}",35,18,29.990234346100465,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.1, 'e': 0.07138839199175381}",25,0,36.98845646632651,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
383,False,"{'a': 0.1, 'e': 0.07089679861426261}",25,14,18.159702932843132,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.1, 'e': 0.07040859043767105}",25,11,16.053660336288367,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
385,False,"{'a': 0.1, 'e': 0.0699237441508735}",20,0,30.415545423002847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
386,False,"{'a': 0.1, 'e': 0.0694422366032889}",25,0,28.230789655768806,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
387,False,"{'a': 0.1, 'e': 0.0689640448037552}",20,10,16.81556354626755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.1, 'e': 0.06848914591943171}",20,5,27.718560787091985,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.1, 'e': 0.06801751727470877}",25,19,-9.11037626757586,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
390,False,"{'a': 0.1, 'e': 0.06754913635012509}",25,0,29.035227243709404,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,False,"{'a': 0.1, 'e': 0.06708398078129245}",20,13,12.224714347421637,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.1, 'e': 0.06662202835782788}",25,0,6.557558185984903,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
393,False,"{'a': 0.1, 'e': 0.06616325702229307}",30,13,-50.63618571812271,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
394,False,"{'a': 0.1, 'e': 0.06570764486914128}",30,13,31.17606383414775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.1, 'e': 0.06525517014367128}",20,7,17.5957068769094,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.1, 'e': 0.06480581124098865}",20,14,12.822067460465458,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.1, 'e': 0.06435954670497425}",20,13,11.584322655102673,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.1, 'e': 0.06391635522725957}",25,11,3.4059366783338616,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
399,False,"{'a': 0.1, 'e': 0.0634762156462094}",20,6,17.40150858542273,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.1, 'e': 0.0630391069459114}",20,16,6.810174019051308,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.1, 'e': 0.0626050082551726}",25,20,11.49292848645494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.1, 'e': 0.062173898846522795}",20,10,17.217350376216647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.1, 'e': 0.06174575813522496}",25,10,16.687329960325773,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
