trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
957,False,"{'a': 0.1, 'e': 0.043861299999990416}",20,16,8.228181772827348,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
958,False,"{'a': 0.1, 'e': 0.042862199999990414}",25,10,29.219557894845828,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.1, 'e': 0.04186309999999041}",30,18,18.43532805250779,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.1, 'e': 0.04086399999999041}",30,21,18.91075581141307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.1, 'e': 0.039864899999990405}",30,13,33.12470700953683,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
962,False,"{'a': 0.1, 'e': 0.0388657999999904}",30,18,-19.148425405290105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
963,False,"{'a': 0.1, 'e': 0.0378666999999904}",20,16,9.191631191741783,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.1, 'e': 0.0368675999999904}",25,9,30.12147335439715,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
965,False,"{'a': 0.1, 'e': 0.035868499999990394}",25,20,10.997267882093286,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.1, 'e': 0.03486939999999039}",20,14,9.150578492754951,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.1, 'e': 0.03387029999999039}",25,8,30.785386274010722,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.1, 'e': 0.032871199999990386}",20,8,15.490237321751083,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.1, 'e': 0.03187209999999038}",20,12,17.481288031734742,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
970,False,"{'a': 0.1, 'e': 0.030872999999990384}",30,16,17.638121900669912,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.1, 'e': 0.029873899999990385}",20,12,16.842077638236812,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
972,False,"{'a': 0.1, 'e': 0.028874799999990385}",25,15,6.01292209550297,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
973,False,"{'a': 0.1, 'e': 0.027875699999990386}",20,5,25.985444932467665,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.1, 'e': 0.026876599999990387}",20,12,16.547186314844,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.1, 'e': 0.025877499999990387}",35,20,24.63880943046383,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.1, 'e': 0.024878399999990388}",25,13,24.097440675944064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.1, 'e': 0.02387929999999039}",30,15,12.19633648556524,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
978,False,"{'a': 0.1, 'e': 0.02288019999999039}",20,13,14.332499555431744,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.1, 'e': 0.02188109999999039}",25,18,14.883383119648173,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
980,False,"{'a': 0.1, 'e': 0.02088199999999039}",20,8,20.210036518447836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
981,False,"{'a': 0.1, 'e': 0.01988289999999039}",20,14,11.161795896721188,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.1, 'e': 0.018883799999990392}",25,17,14.954782361027899,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.1, 'e': 0.017884699999990393}",20,14,8.092737921398912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.1, 'e': 0.016885599999990394}",25,10,-17.828016922203147,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
985,False,"{'a': 0.1, 'e': 0.015886499999990394}",25,16,18.582632653330144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.1, 'e': 0.014887399999990395}",25,11,28.674553379108225,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
987,False,"{'a': 0.1, 'e': 0.013888299999990396}",20,5,6.119889857872831,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
988,False,"{'a': 0.1, 'e': 0.012889199999990397}",25,20,8.736537668480684,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.1, 'e': 0.011890099999990397}",20,8,22.298952369380505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.1, 'e': 0.010890999999990398}",35,21,29.032339870802335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.1, 'e': 0.009891899999990399}",25,8,32.5886652287167,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.1, 'e': 0.0088927999999904}",20,0,32.71972097284815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
993,False,"{'a': 0.1, 'e': 0.0078936999999904}",25,16,20.70467157301824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.1, 'e': 0.0068945999999904}",25,16,17.830545393549606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
